                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.89371,                0.43568,                 1.0059,                0.97358,                0.95711,                0.97243,                0.65771,                 1.1724,                0.46665,                 1.1186,              0.0014869,              0.0014869,              0.0014869
                     54,                 0.8897,                 0.4338,                 1.0008,                0.96043,                0.94573,                0.95372,                0.65264,                 1.2517,                0.47734,                 1.1474,              0.0014687,              0.0014687,              0.0014687
                     55,                0.88964,                0.43354,                 1.0023,                0.98663,                0.95865,                0.96433,                0.66489,                 1.1993,                0.50339,                 1.1491,              0.0014502,              0.0014502,              0.0014502
                     56,                0.88127,                0.43184,                0.99911,                      1,                0.97214,                0.97762,                0.66562,                 1.1871,                0.48949,                 1.1121,              0.0014315,              0.0014315,              0.0014315
                     57,                0.87795,                0.42705,                0.99851,                0.99981,                0.96104,                0.97744,                0.65236,                 1.2267,                 0.5098,                 1.1353,              0.0014127,              0.0014127,              0.0014127
                     58,                0.88157,                0.43101,                0.99687,                0.97054,                0.97403,                0.97438,                0.65781,                 1.2158,                0.48763,                 1.1065,              0.0013936,              0.0013936,              0.0013936
                     59,                0.88419,                0.42836,                 0.9996,                0.97327,                0.94573,                0.95249,                0.66691,                 1.1881,                0.49995,                 1.1162,              0.0013744,              0.0013744,              0.0013744
                     60,                0.87347,                0.42509,                0.99119,                0.95993,                0.93347,                0.94727,                0.64717,                 1.2282,                0.51909,                 1.1381,              0.0013551,              0.0013551,              0.0013551
                     61,                0.87292,                0.42499,                0.99092,                0.95911,                0.93506,                0.96314,                0.68065,                 1.1706,                0.50577,                  1.089,              0.0013356,              0.0013356,              0.0013356
                     62,                0.87562,                0.42453,                0.99449,                0.95488,                0.96104,                0.96271,                0.65634,                 1.2056,                0.49647,                 1.1214,              0.0013159,              0.0013159,              0.0013159
                     63,                 0.8784,                0.42394,                0.99794,                0.95811,                0.96104,                0.97094,                0.64285,                 1.2182,                0.47936,                 1.1119,              0.0012961,              0.0012961,              0.0012961
                     64,                0.87009,                0.42317,                0.99445,                0.95744,                0.96104,                0.96711,                0.66066,                 1.1852,                0.50083,                  1.102,              0.0012762,              0.0012762,              0.0012762
                     65,                0.86942,                0.41923,                0.99331,                0.97206,                0.96104,                 0.9732,                0.65142,                 1.2273,                0.45561,                 1.1107,              0.0012562,              0.0012562,              0.0012562
                     66,                0.86155,                 0.4181,                0.98817,                0.97331,                0.94737,                0.96196,                0.65461,                 1.2052,                0.52327,                 1.1221,              0.0012361,              0.0012361,              0.0012361
                     67,                0.86049,                0.41672,                0.98832,                0.99981,                0.96104,                0.97754,                0.67439,                  1.184,                0.47216,                 1.0946,              0.0012158,              0.0012158,              0.0012158
                     68,                 0.8639,                0.41548,                0.98241,                0.96095,                0.95888,                0.96847,                0.67269,                 1.1807,                0.45887,                 1.1114,              0.0011955,              0.0011955,              0.0011955
